[2025-04-02 03:03:02.207865] Début de l'analyse du fichier qojita.xlsx
[2025-04-02 03:08:26.495754] Traitement de 0614514178010 (Marque: Rasasi) - 66/1200...
[2025-04-02 03:08:28.766785] Traitement de 0614514191019 (Marque: Rasasi) - 67/1200...
[2025-04-02 03:08:31.230710] Traitement de 0614514204016 (Marque: Rasasi) - 68/1200...
[2025-04-02 03:08:41.183135] Traitement de 0614514204092 (Marque: Rasasi) - 69/1200...
[2025-04-02 03:08:50.930706] Traitement de 0614514214015 (Marque: Rasasi) - 70/1200...
[2025-04-02 03:08:58.811559] Traitement de 0614514228012 (Marque: Rasasi) - 71/1200...
[2025-04-02 03:09:06.356369] Traitement de 0614514229026 (Marque: Rasasi) - 72/1200...
[2025-04-02 03:09:13.147191] Traitement de 0614514236093 (Marque: Rasasi) - 73/1200...
[2025-04-02 03:09:18.459882] Traitement de 0614514253038 (Marque: Rasasi) - 74/1200...
[2025-04-02 03:09:25.787222] Traitement de 0614514253045 (Marque: Rasasi) - 75/1200...
[2025-04-02 03:09:38.268387] Traitement de 0614514333136 (Marque: Rasasi) - 76/1200...
[2025-04-02 03:09:45.146049] Traitement de 0614514333228 (Marque: Rasasi) - 77/1200...
[2025-04-02 03:09:47.583294] Traitement de 0614514338025 (Marque: Rasasi) - 78/1200...
[2025-04-02 03:09:58.741934] Traitement de 0614514338049 (Marque: Rasasi) - 79/1200...
[2025-04-02 03:10:15.198890] Traitement de 0614514339022 (Marque: Rasasi) - 80/1200...
[2025-04-02 03:10:17.906959] Traitement de 0614514402047 (Marque: Rasasi) - 81/1200...
[2025-04-02 03:10:29.516562] Traitement de 0614514424018 (Marque: Rasasi) - 82/1200...
[2025-04-02 03:10:31.777032] Traitement de 0614514424025 (Marque: Rasasi) - 83/1200...
[2025-04-02 03:10:34.107013] Traitement de 0614514438084 (Marque: Rasasi) - 84/1200...
[2025-04-02 03:10:36.353225] Traitement de 0614514950012 (Marque: Rasasi) - 85/1200...
[2025-04-02 03:10:38.677157] Traitement de 0615908416770 (Marque: Estée Lauder) - 86/1200...
[2025-04-02 03:10:41.302871] Traitement de 0614514080573 (Marque: Rasasi) - 87/1200...
[2025-04-02 03:10:43.547576] Traitement de 0614514102459 (Marque: Rasasi) - 88/1200...
[2025-04-02 03:10:50.322803] Traitement de 0614514152010 (Marque: Rasasi) - 89/1200...
[2025-04-02 03:10:57.659330] Traitement de 0614514177013 (Marque: Rasasi) - 90/1200...
[2025-04-02 03:10:59.883427] Traitement de 0614514178065 (Marque: Rasasi) - 91/1200...
[2025-04-02 03:11:04.144935] Traitement de 0614514204023 (Marque: Rasasi) - 92/1200...
[2025-04-02 03:11:06.385401] Traitement de 0614514204054 (Marque: Rasasi) - 93/1200...
[2025-04-02 03:11:15.260164] Traitement de 0614514229019 (Marque: Rasasi) - 94/1200...
[2025-04-02 03:11:17.472569] Traitement de 0614514236109 (Marque: Rasasi) - 95/1200...
[2025-04-02 03:11:20.471087] Traitement de 0614514249031 (Marque: Rasasi) - 96/1200...
[2025-04-02 03:11:31.785226] Traitement de 0614514249048 (Marque: Rasasi) - 97/1200...
[2025-04-02 03:11:40.661732] Traitement de 0614514253069 (Marque: Rasasi) - 98/1200...
[2025-04-02 03:11:49.190949] Traitement de 0614514253076 (Marque: Rasasi) - 99/1200...
[2025-04-02 03:11:55.541950] Traitement de 0614514253083 (Marque: Rasasi) - 100/1200...
[2025-04-02 03:11:58.543901] Traitement de 0614514261088 (Marque: Rasasi) - 101/1200...
[2025-04-02 03:12:01.875020] Traitement de 0614514310069 (Marque: Rasasi) - 102/1200...
[2025-04-02 03:12:08.770677] Traitement de 0614514333235 (Marque: Rasasi) - 103/1200...
[2025-04-02 03:12:11.015274] Traitement de 0614514338018 (Marque: Rasasi) - 104/1200...
[2025-04-02 03:12:20.577849] Traitement de 0614514338032 (Marque: Rasasi) - 105/1200...
[2025-04-02 03:12:34.116610] Traitement de 0614514339015 (Marque: Rasasi) - 106/1200...
[2025-04-02 03:12:44.556461] Traitement de 0614514339046 (Marque: Rasasi) - 107/1200...
[2025-04-02 03:12:56.407052] Traitement de 0614514363614 (Marque: Rasasi) - 108/1200...
[2025-04-02 03:13:06.478542] Traitement de 0614514402061 (Marque: Rasasi) - 109/1200...
[2025-04-02 03:13:21.229416] Traitement de 0614514405017 (Marque: Rasasi) - 110/1200...
[2025-04-02 03:13:23.651183] Traitement de 0614514410103 (Marque: Rasasi) - 111/1200...
[2025-04-02 03:13:26.118191] Traitement de 0614514421352 (Marque: Rasasi) - 112/1200...
[2025-04-02 03:13:28.264185] Traitement de 0614514424032 (Marque: Rasasi) - 113/1200...
[2025-04-02 03:13:30.397755] Traitement de 0614514425220 (Marque: Rasasi) - 114/1200...
[2025-04-02 03:13:32.702064] Traitement de 0614514427026 (Marque: Rasasi) - 115/1200...
[2025-04-02 03:13:35.009109] Traitement de 0614514438046 (Marque: Rasasi) - 116/1200...
[2025-04-02 03:13:37.324553] Traitement de 0614514442036 (Marque: Rasasi) - 117/1200...
[2025-04-02 03:13:39.627015] Traitement de 0614514644027 (Marque: Rasasi) - 118/1200...
[2025-04-02 03:13:42.605115] Traitement de 0614514670439 (Marque: Rasasi) - 119/1200...
[2025-04-02 03:13:50.587930] Traitement de 0616762203476 (Marque: Revlon) - 120/1200...
[2025-04-02 03:14:28.772064] Traitement de 0729238148123 (Marque: Maybelline New York) - 121/1200...
[2025-04-02 03:14:38.092455] Traitement de 0730852148741 (Marque: Maybelline New York) - 122/1200...
[2025-04-02 03:14:50.561823] Traitement de 0800897003777 (Marque: NYX) - 123/1200...
[2025-04-02 03:15:03.422584] Traitement de 0800897003944 (Marque: NYX) - 124/1200...
[2025-04-02 03:15:13.283192] Traitement de 0800897004071 (Marque: NYX) - 125/1200...
[2025-04-02 03:15:20.807082] Traitement de 0800897004088 (Marque: NYX) - 126/1200...
[2025-04-02 03:15:30.665825] Traitement de 0800897004255 (Marque: NYX) - 127/1200...
[2025-04-02 03:15:39.280035] Traitement de 0800897004484 (Marque: NYX) - 128/1200...
[2025-04-02 03:15:47.579844] Traitement de 0800897004491 (Marque: NYX) - 129/1200...
[2025-04-02 03:15:54.554300] Traitement de 0800897004514 (Marque: NYX) - 130/1200...
[2025-04-02 03:16:00.750914] Traitement de 0800897051211 (Marque: NYX) - 131/1200...
[2025-04-02 03:16:06.887741] Traitement de 0800897064143 (Marque: NYX) - 132/1200...
[2025-04-02 03:16:15.623072] Traitement de 0800897064440 (Marque: NYX) - 133/1200...
[2025-04-02 03:16:18.422251] Traitement de 0800897097257 (Marque: NYX) - 134/1200...
[2025-04-02 03:16:27.690095] Traitement de 0800897097301 (Marque: NYX) - 135/1200...
[2025-04-02 03:16:36.683477] Traitement de 0800897097318 (Marque: NYX) - 136/1200...
[2025-04-02 03:16:44.817539] Traitement de 0800897100032 (Marque: NYX) - 137/1200...
[2025-04-02 03:16:54.062333] Traitement de 0800897103385 (Marque: NYX) - 138/1200...
[2025-04-02 03:17:00.564674] Traitement de 0800897108045 (Marque: NYX) - 139/1200...
[2025-04-02 03:17:10.000251] Traitement de 0800897108090 (Marque: NYX) - 140/1200...
[2025-04-02 03:17:16.886908] Traitement de 0800897108137 (Marque: NYX) - 141/1200...
[2025-04-02 03:17:29.342975] Traitement de 0800897108342 (Marque: NYX) - 142/1200...
[2025-04-02 03:17:37.365913] Traitement de 0800897109103 (Marque: NYX) - 143/1200...
[2025-04-02 03:17:45.448234] Traitement de 0800897109127 (Marque: NYX) - 144/1200...
[2025-04-02 03:17:48.165391] Traitement de 0800897109134 (Marque: NYX) - 145/1200...
[2025-04-02 03:17:50.760805] Traitement de 0800897119522 (Marque: NYX) - 146/1200...
[2025-04-02 03:18:02.293175] Traitement de 0800897119546 (Marque: NYX) - 147/1200...
[2025-04-02 03:18:12.394872] Traitement de 0800897119614 (Marque: NYX) - 148/1200...
[2025-04-02 03:18:25.416793] Traitement de 0800897126285 (Marque: NYX) - 149/1200...
[2025-04-02 03:18:33.173555] Traitement de 0800897128920 (Marque: NYX) - 150/1200...
[2025-04-02 03:18:41.482340] Traitement de 0800897129811 (Marque: NYX) - 151/1200...
[2025-04-02 03:18:56.651377] Traitement de 0800897129835 (Marque: NYX) - 152/1200...
[2025-04-02 03:19:04.627655] Traitement de 0800897129903 (Marque: NYX) - 153/1200...
[2025-04-02 03:19:11.971111] Traitement de 0800897129965 (Marque: NYX) - 154/1200...
[2025-04-02 03:19:19.847893] Traitement de 0800897131050 (Marque: NYX) - 155/1200...
[2025-04-02 03:19:27.570483] Traitement de 0800897131067 (Marque: NYX) - 156/1200...
[2025-04-02 03:19:34.955674] Traitement de 0800897131111 (Marque: NYX) - 157/1200...
[2025-04-02 03:19:37.258876] Traitement de 0800897131203 (Marque: NYX) - 158/1200...
[2025-04-02 03:19:45.340289] Traitement de 0800897132156 (Marque: NYX) - 159/1200...
[2025-04-02 03:19:54.222888] Traitement de 0800897132743 (Marque: NYX) - 160/1200...
[2025-04-02 03:20:03.956563] Traitement de 0800897132927 (Marque: NYX) - 161/1200...
[2025-04-02 03:20:06.234227] Traitement de 0800897138523 (Marque: NYX) - 162/1200...
[2025-04-02 03:20:13.572790] Traitement de 0800897139407 (Marque: NYX) - 163/1200...
[2025-04-02 03:20:20.988334] Traitement de 0800897140250 (Marque: NYX) - 164/1200...
[2025-04-02 03:20:31.749352] Traitement de 0800897140847 (Marque: NYX) - 165/1200...
[2025-04-02 03:20:34.291806] Traitement de 0800897140854 (Marque: NYX) - 166/1200...
[2025-04-02 03:20:39.862793] Traitement de 0800897142896 (Marque: NYX) - 167/1200...
[2025-04-02 03:20:48.660619] Traitement de 0800897142919 (Marque: NYX) - 168/1200...
[2025-04-02 03:20:56.721060] Traitement de 0800897156060 (Marque: NYX) - 169/1200...
[2025-04-02 03:21:04.313187] Traitement de 0800897156077 (Marque: NYX) - 170/1200...
[2025-04-02 03:21:13.042316] Traitement de 0800897157180 (Marque: NYX) - 171/1200...
[2025-04-02 03:21:20.440327] Traitement de 0800897157258 (Marque: NYX) - 172/1200...
[2025-04-02 03:21:29.548439] Traitement de 0800897157319 (Marque: NYX) - 173/1200...
[2025-04-02 03:21:31.764254] Traitement de 0800897157357 (Marque: NYX) - 174/1200...
[2025-04-02 03:21:42.121534] Traitement de 0800897168551 (Marque: NYX) - 175/1200...
[2025-04-02 03:21:44.350025] Traitement de 0800897168629 (Marque: NYX) - 176/1200...
[2025-04-02 03:21:46.515074] Traitement de 0800897168636 (Marque: NYX) - 177/1200...
[2025-04-02 03:21:48.742194] Traitement de 0800897168711 (Marque: NYX) - 178/1200...
[2025-04-02 03:21:50.922847] Traitement de 0800897168728 (Marque: NYX) - 179/1200...
[2025-04-02 03:21:53.095644] Traitement de 0800897170486 (Marque: NYX) - 180/1200...
[2025-04-02 03:22:03.949438] Traitement de 0800897170684 (Marque: NYX) - 181/1200...
[2025-04-02 03:22:12.297049] Traitement de 0800897170707 (Marque: NYX) - 182/1200...
[2025-04-02 03:22:22.255041] Traitement de 0800897170752 (Marque: NYX) - 183/1200...
[2025-04-02 03:22:31.625307] Traitement de 0800897179472 (Marque: NYX) - 184/1200...
[2025-04-02 03:22:33.885382] Traitement de 0800897181222 (Marque: NYX) - 185/1200...
[2025-04-02 03:22:44.532194] Traitement de 0800897181277 (Marque: NYX) - 186/1200...
[2025-04-02 03:22:53.652229] Traitement de 0800897182588 (Marque: NYX) - 187/1200...
[2025-04-02 03:23:02.373640] Traitement de 0800897182618 (Marque: NYX) - 188/1200...
[2025-04-02 03:23:12.865568] Traitement de 0800897183691 (Marque: NYX) - 189/1200...
[2025-04-02 03:23:22.716819] Traitement de 0800897183714 (Marque: NYX) - 190/1200...
[2025-04-02 03:23:30.290079] Traitement de 0800897184674 (Marque: NYX) - 191/1200...
[2025-04-02 03:23:37.741679] Traitement de 0800897184919 (Marque: NYX) - 192/1200...
[2025-04-02 03:23:39.943893] Traitement de 0800897192068 (Marque: NYX) - 193/1200...
[2025-04-02 03:23:43.286823] Traitement de 0800897197193 (Marque: NYX) - 194/1200...
[2025-04-02 03:23:45.438336] Traitement de 0800897197834 (Marque: NYX) - 195/1200...
[2025-04-02 03:24:03.496578] Traitement de 0800897206666 (Marque: NYX) - 196/1200...
[2025-04-02 03:24:14.459451] Traitement de 0800897206673 (Marque: NYX) - 197/1200...
[2025-04-02 03:24:16.642900] Traitement de 0800897207236 (Marque: NYX) - 198/1200...
[2025-04-02 03:24:25.059320] Traitement de 0800897207328 (Marque: NYX) - 199/1200...
[2025-04-02 03:24:32.745253] Traitement de 0800897207335 (Marque: NYX) - 200/1200...
[2025-04-02 03:24:39.476191] Traitement de 0800897207441 (Marque: NYX) - 201/1200...
[2025-04-02 03:24:47.725914] Traitement de 0800897207458 (Marque: NYX) - 202/1200...
[2025-04-02 03:24:59.630547] Traitement de 0800897207496 (Marque: NYX) - 203/1200...
[2025-04-02 03:25:07.568705] Traitement de 0800897207519 (Marque: NYX) - 204/1200...
[2025-04-02 03:25:15.944911] Traitement de 0800897207625 (Marque: NYX) - 205/1200...
[2025-04-02 03:25:29.243800] Traitement de 0800897207656 (Marque: NYX) - 206/1200...
[2025-04-02 03:25:37.492241] Traitement de 0800897215354 (Marque: NYX) - 207/1200...
[2025-04-02 03:25:47.780680] Traitement de 0800897216856 (Marque: Maybelline New York) - 208/1200...
[2025-04-02 03:25:55.573606] Traitement de 0800897221676 (Marque: NYX) - 209/1200...
[2025-04-02 03:26:08.427420] Traitement de 0800897221713 (Marque: NYX) - 210/1200...
[2025-04-02 03:26:15.990679] Traitement de 0800897223762 (Marque: NYX) - 211/1200...
[2025-04-02 03:26:26.118310] Traitement de 0800897223793 (Marque: NYX) - 212/1200...
[2025-04-02 03:26:33.562724] Traitement de 0800897225186 (Marque: NYX) - 213/1200...
[2025-04-02 03:26:35.817759] Traitement de 0800897225216 (Marque: NYX) - 214/1200...
[2025-04-02 03:26:38.279379] Traitement de 0800897225278 (Marque: NYX) - 215/1200...
[2025-04-02 03:26:46.811610] Traitement de 0800897225308 (Marque: NYX) - 216/1200...
[2025-04-02 03:26:56.107119] Traitement de 0800897225377 (Marque: NYX) - 217/1200...
[2025-04-02 03:26:58.370988] Traitement de 0800897225407 (Marque: NYX) - 218/1200...
[2025-04-02 03:27:09.517492] Traitement de 0800897230500 (Marque: NYX) - 219/1200...
[2025-04-02 03:27:11.770195] Traitement de 0800897232788 (Marque: NYX) - 220/1200...
[2025-04-02 03:27:21.547488] Traitement de 0800897232825 (Marque: NYX) - 221/1200...
[2025-04-02 03:27:30.512214] Traitement de 0800897233709 (Marque: NYX) - 222/1200...
[2025-04-02 03:27:32.801581] Traitement de 0800897233723 (Marque: NYX) - 223/1200...
[2025-04-02 03:27:35.201787] Traitement de 0800897233778 (Marque: NYX) - 224/1200...
[2025-04-02 03:27:41.029131] Traitement de 0800897233853 (Marque: NYX) - 225/1200...
[2025-04-02 03:27:43.320901] Traitement de 0800897233914 (Marque: NYX) - 226/1200...
[2025-04-02 03:27:46.509149] Traitement de 0800897233938 (Marque: NYX) - 227/1200...
[2025-04-02 03:27:55.400533] Traitement de 0800897233945 (Marque: NYX) - 228/1200...
[2025-04-02 03:28:06.549505] Traitement de 0800897234003 (Marque: NYX) - 229/1200...
[2025-04-02 03:28:17.686343] Traitement de 0800897234379 (Marque: NYX) - 230/1200...
[2025-04-02 03:28:20.641436] Traitement de 0800897234423 (Marque: NYX) - 231/1200...
[2025-04-02 03:28:24.003785] Traitement de 0800897234553 (Marque: NYX) - 232/1200...
[2025-04-02 03:28:33.111177] Traitement de 0800897243043 (Marque: NYX) - 233/1200...
[2025-04-02 03:28:36.405159] Traitement de 0800897243227 (Marque: NYX) - 234/1200...
[2025-04-02 03:28:38.662652] Traitement de 0800897243531 (Marque: NYX) - 235/1200...
[2025-04-02 03:28:45.365238] Traitement de 0800897243548 (Marque: NYX) - 236/1200...
[2025-04-02 03:28:57.813257] Traitement de 0800897243555 (Marque: NYX) - 237/1200...
[2025-04-02 03:29:07.569972] Traitement de 0800897243562 (Marque: NYX) - 238/1200...
[2025-04-02 03:29:19.375831] Traitement de 0800897243579 (Marque: NYX) - 239/1200...
[2025-04-02 03:29:28.471027] Traitement de 0800897245115 (Marque: NYX) - 240/1200...
[2025-04-02 03:29:36.612955] Traitement de 0800897245139 (Marque: NYX) - 241/1200...
[2025-04-02 03:29:43.488515] Traitement de 0800897245900 (Marque: NYX) - 242/1200...
[2025-04-02 03:29:45.760100] Traitement de 0800897245917 (Marque: NYX) - 243/1200...
[2025-04-02 03:29:48.007506] Traitement de 0800897246006 (Marque: NYX) - 244/1200...
